collectivite_id,nom,siren,departement_code,region_code,etoiles_cae,etoiles_eci,nom_epci,departement,nature_juridique,regime_fiscal,population_dgf,population_insee,revenu,potentiel_fiscal,potentiel_fiscal_hab,cif
4019,CC La Rochefoucauld - Porte du Périgord,200068914,16,75,1,1,CC LA ROCHEFOUCAULD-PORTE DU PÉRIGORD,16,CC,FPU,23304.0,22261.0,331852411.0,6810510.0,292.246395,0.469537
5207,CC Avre Luce Noye,200070969,80,32,1,0,CC AVRE LUCE NOYE,80,CC,FA,22302.0,22013.0,346945222.0,5484878.0,245.936598,0.532915
3823,CC TERRE VALSERHONE (CCTV),240100891,1,84,1,1,CC TERRE VALSERHÔNE ,01,CC,FPU,22820.0,22090.0,421943767.0,10123352.0,443.617528,0.306645
5259,CC Provence Verdon,200040202,83,93,1,0,CC PROVENCE VERDON,83,CC,FPU,25655.0,23269.0,373725007.0,5949057.0,231.886845,0.410213
5321,CC Haut Limousin en Marche,200071942,87,75,1,1,COMMUNAUTÉ DE COMMUNES HAUT LIMOUSIN EN MARCHE,87,CC,FPU,26324.0,23007.0,307773355.0,7107045.0,269.983475,0.433815
4200,CC Coeur de Beauce,200070159,28,24,1,0,CC COEUR DE BEAUCE,28,CC,FPU,25691.0,24814.0,407436326.0,15542041.0,604.960531,0.579969
4246,CC de Marana-Golo,200036499,2B,94,1,0,CC DE MARANA-GOLO,2B,CC,FA,28211.0,25879.0,441451846.0,5952548.0,211.000957,0.365491
5134,CC Caux - Austreberthe,247600646,76,28,1,0,CC DE CAUX-AUSTREBERTHE,76,CC,FPU,25638.0,25536.0,377824313.0,9942677.0,387.810165,0.286145
5208,CC du Grand Roye,200070977,80,32,1,0,CC DU GRAND ROYE,80,CC,FA,26140.0,25661.0,360011733.0,6515064.0,249.237337,0.345572
5277,CC Territoriale Sud-Luberon,248400285,84,93,1,1,COMMUNAUTÉ TERRITORIALE DU SUD LUBERON,84,CC,FPU,27928.0,26348.0,485094513.0,6895606.0,246.906545,0.356346
4840,CC des Pays de L'Aigle,200068468,61,28,1,0,CC DES PAYS DE L'AIGLE,61,CC,FPU,27230.0,25632.0,389069510.0,9884201.0,362.989387,0.74344
3988,CC Vallées de l'Orne et de l'Odon,200066728,14,28,1,0,CC VALLÉES DE L'ORNE ET DE L'ODON,14,CC,FPU,26969.0,26867.0,469865166.0,2631986.0,97.593014,0.38602
3837,CC de la Thiérache du Centre,240200444,2,32,1,0,CC THIERACHE DU CENTRE,02,CC,FPU,27264.0,26655.0,345260611.0,9061933.0,332.377237,0.342077
5212,CC du Val de Somme,248000499,80,32,1,0,CC DU VAL DE SOMME,80,CC,FPU,27266.0,26826.0,434292805.0,7560441.0,277.284567,0.434262
3990,CC du Pays de Honfleur-Beuzeville,200066827,14,28,1,1,CC DU PAYS DE HONFLEUR-BEUZEVILLE,14,CC,FPU,31505.0,27653.0,508399106.0,12434703.0,394.689827,0.358829
5318,CC Elan Limousin Avenir Nature,200066512,87,75,1,1,COMMUNAUTÉ DE COMMUNES ELAN LIMOUSIN AVENIR NATURE,87,CC,FPU,29563.0,27848.0,429551106.0,9605126.0,324.90363,0.342316
4228,CC Communauté Lesneven Côte des Légendes,242900793,29,53,1,3,COMMUNAUTE LESNEVEN COTE DES LEGENDES,29,CC,FPU,30678.0,28317.0,455921960.0,8696405.0,283.473662,0.400602
5211,CC Nièvre et Somme,200071223,80,32,1,0,CC NIEVRE ET SOMME,80,CC,FPU,28268.0,28077.0,409345352.0,8571517.0,303.223327,0.260161
